2018-08-25 00:58:41,460 | INFO  | main | Starting to intialise driver
2018-08-25 00:58:41,461 | INFO  | main | OS environment: Mac OS X
2018-08-25 00:58:41,461 | INFO  | main | Browser: firefox
2018-08-25 00:58:43,889 | INFO  | main | Driver initialised successfully
2018-08-25 00:58:45,910 | INFO  | main | Opening URl: http://computer-database.herokuapp.com/computers
2018-08-25 00:58:45,945 | INFO  | main | objects are initialized successfully
2018-08-25 00:58:45,992 | INFO  | main | Starting TestCase: addNewComputerMin
2018-08-25 00:58:48,321 | INFO  | main | TestCase: addNewComputerMin passed successfully
2018-08-25 00:58:48,324 | INFO  | main | Starting to intialise driver
2018-08-25 00:58:48,324 | INFO  | main | OS environment: Mac OS X
2018-08-25 00:58:48,324 | INFO  | main | Browser: firefox
2018-08-25 00:58:50,254 | INFO  | main | Driver initialised successfully
2018-08-25 00:58:51,927 | INFO  | main | Opening URl: http://computer-database.herokuapp.com/computers
2018-08-25 00:58:51,929 | INFO  | main | objects are initialized successfully
2018-08-25 00:58:51,931 | INFO  | main | Starting TestCase: checkNumberOfComputers
2018-08-25 00:58:52,048 | INFO  | main | TestCase: checkNumberOfComputers passed successfully
2018-08-25 00:58:52,050 | INFO  | main | Starting TestCase: addNewComputerMax
2018-08-25 00:58:55,709 | INFO  | main | TestCase: addNewComputerMax passed successfully
2018-08-25 00:58:55,711 | INFO  | main | Starting TestCase: checkPaginationForward
2018-08-25 00:59:56,285 | INFO  | main | Starting TestCase: checkPaginationForward passed successfully
2018-08-25 00:59:56,287 | INFO  | main | Starting TestCase: addNewComputerWrongDate
2018-08-25 00:59:57,946 | INFO  | main | Capturting screenshot
2018-08-25 00:59:58,299 | INFO  | main | Starting TestCase: checkPaginationBackward
2018-08-25 01:00:58,900 | INFO  | main | Starting TestCase: checkPaginationBackward passed successfully
2018-08-25 01:00:58,902 | INFO  | main | Starting TestCase: viewComputerDetail
2018-08-25 01:00:59,923 | INFO  | main | TestCase: viewComputerDetail passed successfully
2018-08-25 01:00:59,926 | INFO  | main | Starting TestCase: checkCantNavigateBackward
2018-08-25 01:01:00,303 | INFO  | main | Starting TestCase: checkCantNavigateBackward passed successfully
2018-08-25 01:01:00,306 | INFO  | main | Starting TestCase: editComputerDetail
2018-08-25 01:01:02,111 | INFO  | main | TestCase: editComputerDetail passed successfully
2018-08-25 01:01:02,113 | INFO  | main | Starting TestCase: checkCantNavigateForward
2018-08-25 01:01:02,355 | INFO  | main | Starting TestCase: checkCantNavigateForward passed successfully
2018-08-25 01:01:02,357 | INFO  | main | Starting TestCase: editThenCancel
2018-08-25 01:01:03,671 | INFO  | main | TestCase: editThenCancel passed successfully
2018-08-25 01:01:03,673 | INFO  | main | Starting TestCase: checkSearchFunc
2018-08-25 01:01:05,011 | INFO  | main | Starting TestCase: checkSearchFunc passed successfully
2018-08-25 01:01:05,012 | INFO  | main | Closing driver
2018-08-25 01:01:05,174 | INFO  | main | Starting TestCase: deleteEntry
2018-08-25 01:01:06,423 | INFO  | main | TestCase: deleteEntry passed successfully
2018-08-25 01:01:06,424 | INFO  | main | Starting TestCase: addNewComputerDublicateName
2018-08-25 01:01:07,734 | INFO  | main | Capturting screenshot
2018-08-25 01:01:07,931 | INFO  | main | Closing driver
